"record_id","sell","price_usd","kilometers","miles","year","maker","model"
30869,0,8600.,40115,24926.,2005.,"Toyota","Corolla"
30870,1,8501.11,87185,54174.,2003.,"Toyota","Corolla"
31009,0,11100.,38998,24232.,2005.,"Toyota","Corolla"
31039,1,5803.,72873,45281.,2000.,"Toyota","Corolla"
31091,1,9903.,1075,668.,1976.,"Toyota","Corolla"
31201,0,5600.,86795,53932.,2001.,"Toyota","Corolla"
31207,0,6600.,86795,53932.,2001.,"Toyota","Corolla"
31221,0,785.,320259,199000.,1989.,"Toyota","Corolla"
31222,1,805.,320259,199000.,1989.,"Toyota","Corolla"
31747,1,5300.,91733,57000.,1999.,"Toyota","Corolla"
31812,0,9600.,81816,50838.,2004.,"Toyota","Corolla"
31982,0,2425.,248322,154300.,1998.,"Toyota","Corolla"
31983,0,3500.,246230,153000.,1998.,"Toyota","Corolla"
32034,0,5093.,42892,26652.,2003.,"Toyota","Corolla"
32151,1,860.,217488,135141.,1986.,"Toyota","Corolla"
32321,1,355.,255221,158587.,1989.,"Toyota","Corolla"
32338,0,8600.,28540,17734.,2003.,"Toyota","Corolla"
32403,0,10101.,90101,55986.,2004.,"Toyota","Corolla"
32462,1,1700.,180247,112000.,1992.,"Toyota","Corolla"
32806,0,6102.,139461,86657.,2003.,"Toyota","Corolla"
32808,0,6000.,139461,86657.,2003.,"Toyota","Corolla"
32809,0,6100.,139461,86657.,2003.,"Toyota","Corolla"
32994,0,5600.,15239,9469.,2005.,"Toyota","Corolla"
33002,0,3350.,149662,92996.,1999.,"Toyota","Corolla"
33030,0,5655.,79592,49456.,2001.,"Toyota","Corolla"
33039,0,5802.,79592,49456.,2001.,"Toyota","Corolla"
33052,1,8388.,79592,49456.,2001.,"Toyota","Corolla"
33069,0,7211.1,79592,49456.,2001.,"Toyota","Corolla"
33602,1,620.,201958,125491.,1995.,"Toyota","Corolla"
33806,0,1075.,265302,164851.,1986.,"Toyota","Corolla"
33807,0,2750.,251058,156000.,1995.,"Toyota","Corolla"
34290,0,11500.,28363,17624.,2006.,"Toyota","Corolla"
34322,0,7600.,64844,40292.,2003.,"Toyota","Corolla"
34670,1,11000.,55810,34679.,2005.,"Toyota","Corolla"
34883,0,1000.,20921,13000.,1987.,"Toyota","Corolla"
34884,0,1325.,19312,12000.,1987.,"Toyota","Corolla"
34973,1,1147.,293480,182360.,1994.,"Toyota","Corolla"
